Deposition Number,Datablock,Status,Doi,CIF
2292404,data_snpw11-cs,Submitted,,
2292403,data_tmpw11-cs,Published,,
2292402,data_thpw11-cs,Published,,
2292401,data_ybpw11-cs,Published,,
2292400,data_tbpw11-cs,Published,,
2292399,data_srpw11-cs,Published,,
2292398,data_prpw11-cs-2,Published,,
2292396,data_hopw11-cs,Published,,
2292395,data_erpw11-cs,Published,,
2292394,data_gdpw11-cs,Published,,
2292393,data_dypw11-cs,Published,,
2292392,data_lapw11-cs,Published,,
2292391,data_eupw11-cs,Published,,
2292390,data_lupw11-cs,Published,,
2292389,data_napw11-cs,Published,,
2292388,data_ndpw11-cs,Published,,
2292387,data_ceivpw11-cs,Published,,
2292386,data_ampw11-cs,Published,,
2292385,data_capw11-cs-2,Published,,
2292384,data_cmpw11-cs-xs,Published,,
2292383,data_ceiiipw11-cs,Published,,
2292382,data_capw11-cs,Published,,
2292381,data_bapw11-cs,Published,,
2292380,data_pw10-cs,Submitted,,
2291415,data_Nb59,Published,,
2291414,data_agnb16,Published,,
2291413,data_Cu2Nb8,Published,,
2291412,data_co2nb8,Published,,
2207380,data_lu-u84,Submitted,,
2207379,data_Tm-U84,Submitted,,
2207378,data_gd-u6,Submitted,,
2207377,data_Sm-U6,Submitted,,
2207376,data_nd-u6,Submitted,,
2207375,data_dy-u6,Submitted,,
2207374,data_Eu-U6,Submitted,,
2164766,data_nh4ce622-mono,Published,,
2164765,data_nh4-ce6,Published,,
2127434,data_ndw5,Published,,
2127433,data_euw5,Published,,
2127432,data_smpw11,Published,,
2127431,data_smbw11,Published,,
2127430,data_ndbw11,Published,,
2114775,data_cseubw11,Published,,
2114774,data_cscmbw11,Published,,
2105638,data_eupw11,Published,,
2105637,data_nh4-th6-mono,Published,,
2105636,data_Ho-U6,Published,,
2105635,data_Yb-U84,Published,,
2105634,data_Tb-U6,Submitted,,
2105633,data_Pr-U6,Submitted,,
2105632,data_nh4-u84-tetra,Published,,
2105631,data_nh4th-th6,Published,,
2105630,data_nh48ceso46,Published,,
2105629,data_nh46ceso45,Published,,
2105628,data_nh4-u84-rhomb,Published,,
2105627,data_nh4-u6,Published,,
2105626,data_nh4-u6-chains,Published,,
2105625,data_nh4-th6-tetra,Published,,
2105624,data_Er-U84,Published,,
2105623,data_ndpw11,Published,,
2105622,data_Ce-U6,Published,,
2105535,data_CsCmPW11-beta,Published,,
2105534,data_CsCmPW11-alpha,Published,,
2102485,data_ag3-crmo6-2,Published,,
2102484,data_Ag4-V10,Published,,
2102483,data_Ag3-CrMo6-1,Published,,
2102482,data_Ag-CrMo6,Published,,
2057091,data_nh4ce70-ortho,Published,,
2057090,data_nh4ce70-mono,Published,,
2057089,data_nh4cece622,Published,,
2057088,data_nh4ce622-beta,Published,,
2057087,data_nh4ce622-alpha,Published,,
2057086,data_ni-pacman,Published,,
2057085,data_nh4ce52ce70,Published,,
2057084,data_cdce70-isolated,Published,,
2057078,data_ybce70,Published,,
2055317,data_CsBuSnW9,Published,,
2016629,data_ZnCe70-Propeller,Published,,
2016626,data_znce70-isolated,Published,,
2016624,data_NiCe70-Standard,Published,,
2016621,data_CuCe70-Tartan,Published,,
2016618,data_CoCe70-Tartan,Published,,
2016617,data_CoCe70-Isolated,Published,,
